name	alternative-name	funding-programme	area	region	discipline	funded-2012-15	funding-2012-13	funding-2013-14	funding-2014-15	funding-total	grant-2015-16	grant-2016-17	grant-2107-18	grant-total	funding-source	cash-change-2014-15--2015-16	cash-change-2012-15--2015-18	real-change-2014-15--2015-16	real-change-2012-15--2015-18	notes	local-authority-name	website
Collective Encounters	n/a	NPO	North	North West	Theatre	Yes	7e4	70121.15649	80015.3395566	220136.4960466	80015	80015	80015	240045	GIA	-4.2436438047743994E-6	9.0437089310196173E-2	-1.3810891167460402E-2	3.9211931235726076E-2		Liverpool	www.collective-encounters.org.uk
Comma Press	n/a	NPO	North	North West	Literature	Yes	72033	61575.599547	48001.5375936432	181610.1371406432	72030	72030	72030	216090	GIA	0.50057693171768025	0.18985648820172837	0.47985890701940853	0.12976691401282156		Manchester	www.commapress.co.uk
Commonword/Cultureword		NPO	North	North West	Literature	Yes	91052	91209.401514	91579.7122244928	273841.11373849283	94247	94247	94247	282741	GIA	2.9125312918310702E-2	3.2500182825016558E-2	1.491648216795919E-2	-1.6894390842372216E-2	Finalisation of three year funding agreement pending	Manchester	www.cultureword.org.uk
Community Arts North West	CAN	NPO	North	North West	Combined arts	Yes	19e4	190328.85332999998	191101.54581719037	571430.3991471904	191102	191102	191102	573306	GIA	2.3766569112983192E-6	3.2822909939841894E-3	-1.3804362271290548E-2	-4.4714492832098683E-2		Manchester	www.can.uk.com
Community Music Ltd	n/a	NPO	London	London	Music	Yes	133190	133420.163877	133961.010698382	400571.17457538197	133961	133961	133961	401883	GIA	-7.9861908552565041E-8	3.2748872307364744E-3	-1.3806784873677043E-2	-4.4721600585239468E-2		Tower Hamlets	www.cmsounds.com
Company Chameleon	Company Chamelion Limited	NPO	North	North West	Dance	Yes	145119	145643.629824	146234.50134557878	436997.13116957876	196235	196235	196235	588705	LOT	0.34191998601110501	0.34715987362294676	0.32339249113521229	0.28272890860202687		Manchester	www.companychameleon.com
Company of Angels	n/a	NPO	London	London	Theatre	Yes	185011.2	185330.97059399998	186083.09871230522	556425.2693063052	186063	186063	186063	558189	GIA	-1.080093380016846E-4	3.1697530485875081E-3	-1.3913224199212763E-2	-4.4821672911053247E-2		Lambeth	www.companyofangels.co.uk
Coney Ltd	n/a	NPO	London	London	Theatre	Yes	122120	122331.60116100001	122827.8584233092	367279.45958430925	122828	122828	122828	368484	GIA	1.1526431594624461E-6	3.2796291332329273E-3	-1.3805569385444399E-2	-4.4717035098811093E-2		Tower Hamlets	www.coneyhq.org
Contact Theatre	Contact	NPO	North	North West	Theatre	Yes	911155	912732.459408	916435.3284263015	2740322.7878343016	916435	916435	916435	2749305	GIA	-3.5837368038103868E-7	3.2777934795036028E-3	-1.3807059540118646E-2	-4.4718791015593118E-2		Manchester	www.contactmcr.com
Contemporary Art Society	CAS	NPO	London	London	Visual arts	Yes	167749	167971.553442	168324.484668438	504045.03811043804	168324	168324	168324	504972	GIA	-2.8793698014723741E-6	1.8390457587618659E-3	-1.3809545729587218E-2	-4.6104305262534499E-2		Islington	www.contemporaryartsociety.org
Contemporary Dance Trust	The Place	NPO	London	London	Dance	Yes	1783647.6	1786735.244448	1793985.1183631748	5364367.962811175	1793985	1793985	1793985	5381955	GIA	-6.5977790802782506E-8	3.2784919511018749E-3	-1.3806771181253228E-2	-4.471812257836659E-2		Camden	www.theplace.org.uk
Continental Drifts Ltd	n/a	NPO	London	London	Music	Yes	119305	119511.479241	119996.1778437912	358812.6570847912	119996	119996	119996	359988	GIA	-1.4820787994711115E-6	3.275645081079265E-3	-1.3808167730571461E-2	-4.4720848758024755E-2		Haringey	www.continentaldrifts.co.uk
